__time,/fmu/out/vehicle_odometry/angular_velocity[0],/fmu/out/vehicle_odometry/angular_velocity[1],/fmu/out/vehicle_odometry/angular_velocity[2],/fmu/out/vehicle_odometry/orientation_variance[0],/fmu/out/vehicle_odometry/orientation_variance[1],/fmu/out/vehicle_odometry/orientation_variance[2],/fmu/out/vehicle_odometry/pose_frame,/fmu/out/vehicle_odometry/position[0],/fmu/out/vehicle_odometry/position[1],/fmu/out/vehicle_odometry/position[2],/fmu/out/vehicle_odometry/position_variance[0],/fmu/out/vehicle_odometry/position_variance[1],/fmu/out/vehicle_odometry/position_variance[2],/fmu/out/vehicle_odometry/q[0],/fmu/out/vehicle_odometry/q[1],/fmu/out/vehicle_odometry/q[2],/fmu/out/vehicle_odometry/q[3],/fmu/out/vehicle_odometry/quality,/fmu/out/vehicle_odometry/reset_counter,/fmu/out/vehicle_odometry/timestamp,/fmu/out/vehicle_odometry/timestamp_sample,/fmu/out/vehicle_odometry/velocity[0],/fmu/out/vehicle_odometry/velocity[1],/fmu/out/vehicle_odometry/velocity[2],/fmu/out/vehicle_odometry/velocity_frame,/fmu/out/vehicle_odometry/velocity_variance[0],/fmu/out/vehicle_odometry/velocity_variance[1],/fmu/out/vehicle_odometry/velocity_variance[2],/uav/target_position/x,/uav/target_position/y,/uav/target_position/z
1777391624.939532,0.010308156,-0.099536747,-0.009120746,0.000020786,0.000018582,0.000065170,1.000000000,-7.587111950,-0.741048276,-9.991488457,0.011329241,0.011323138,0.025979154,0.772715092,-0.030536931,-0.041377801,0.632666349,0.000000000,14.000000000,1777391624939967.000000000,1777391624934967.000000000,0.346303821,-2.044985533,0.006408419,1.000000000,0.003062541,0.003114133,0.002056539,,,
1777391624.944383,0.011639493,-0.099248141,-0.009716812,0.000020799,0.000018590,0.000065190,1.000000000,-7.585398197,-0.750802696,-9.991506577,0.011366561,0.011360588,0.026024923,0.772721171,-0.030353628,-0.041553758,0.632656336,0.000000000,14.000000000,1777391624944967.000000000,1777391624939967.000000000,0.351156324,-2.043595552,0.006438757,1.000000000,0.003073828,0.003126289,0.002059847,,,
1777391624.951536,0.011499291,-0.098653167,-0.009434695,0.000020804,0.000018593,0.000065199,1.000000000,-7.583665371,-0.760588169,-9.991518974,0.011385295,0.011379389,0.026047846,0.772726715,-0.030171417,-0.041728854,0.632646680,0.000000000,14.000000000,1777391624947467.000000000,1777391624944967.000000000,0.356005192,-2.042190790,0.006470193,1.000000000,0.003078713,0.003131610,0.002060734,,,
1777391624.952087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.438435845,-3.951982626,-9.985322952
1777391624.954484,0.014218598,-0.098517962,-0.010148114,0.000020823,0.000018604,0.000065229,1.000000000,-7.581038952,-0.775045335,-9.991554260,0.011441767,0.011436069,0.026061716,0.772736132,-0.029890725,-0.041987527,0.632631421,0.000000000,14.000000000,1777391624954967.000000000,1777391624952467.000000000,0.363247424,-2.039886236,0.006589022,1.000000000,0.003094944,0.003149160,0.002063220,,,
1777391624.959723,0.014398516,-0.097350925,-0.011537733,0.000020786,0.000018552,0.000065188,1.000000000,-7.580172539,-0.779675424,-9.991585732,0.011233125,0.011227078,0.025836572,0.772740722,-0.029796360,-0.042072523,0.632624626,0.000000000,14.000000000,1777391624959967.000000000,1777391624954967.000000000,0.365656376,-2.038997173,0.006574422,1.000000000,0.003030152,0.003083012,0.002047881,,,
1777391624.964712,0.014760003,-0.097971782,-0.011044307,0.000020799,0.000018560,0.000065209,1.000000000,-7.578370571,-0.789373875,-9.991603851,0.011269950,0.011264036,0.025882026,0.772748768,-0.029608659,-0.042241205,0.632612288,0.000000000,14.000000000,1777391624964967.000000000,1777391624959967.000000000,0.370506108,-2.037454128,0.006566509,1.000000000,0.003041365,0.003095078,0.002051186,,,
1777391624.971629,0.015244463,-0.098890185,-0.010221326,0.000020804,0.000018563,0.000065218,1.000000000,-7.576550007,-0.799105346,-9.991614342,0.011288436,0.011282591,0.025904793,0.772755504,-0.029418498,-0.042410932,0.632601738,0.000000000,14.000000000,1777391624967467.000000000,1777391624964967.000000000,0.375310630,-2.035893679,0.006596246,1.000000000,0.003046212,0.003100354,0.002052072,,,
1777391624.972098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.396965224,-3.946560545,-9.985322952
1777391624.975243,0.015439956,-0.099964939,-0.010975319,0.000020823,0.000018574,0.000065247,1.000000000,-7.573795795,-0.813468635,-9.991652489,0.011344161,0.011338530,0.025973249,0.772766173,-0.029128917,-0.042668886,0.632584751,0.000000000,14.000000000,1777391624974967.000000000,1777391624972467.000000000,0.382512510,-2.033416033,0.006625076,1.000000000,0.003062325,0.003117757,0.002056263,,,
