__time,/uav/cv/swing_angle/world_frame/cartesian/header/stamp/nanosec,/uav/cv/swing_angle/world_frame/cartesian/header/stamp/sec,/uav/cv/swing_angle/world_frame/cartesian/vector/x,/uav/cv/swing_angle/world_frame/cartesian/vector/y,/uav/cv/swing_angle/world_frame/cartesian/vector/z,/uav/cv_comp/swing_angle/world_frame/cartesian/header/stamp/nanosec,/uav/cv_comp/swing_angle/world_frame/cartesian/header/stamp/sec,/uav/cv_comp/swing_angle/world_frame/cartesian/vector/x,/uav/cv_comp/swing_angle/world_frame/cartesian/vector/y,/uav/cv_comp/swing_angle/world_frame/cartesian/vector/z,/uav/truth/swing_angle/world_frame/cartesian/header/stamp/nanosec,/uav/truth/swing_angle/world_frame/cartesian/header/stamp/sec,/uav/truth/swing_angle/world_frame/cartesian/vector/x,/uav/truth/swing_angle/world_frame/cartesian/vector/y,/uav/truth/swing_angle/world_frame/cartesian/vector/z
1777288391.005030,,,,,,,,,,,130000000.000000000,399.000000000,-0.108906854,-0.015005920,1.099999381
1777288391.007242,,,,,,7004302.000000000,1777288391.000000000,-0.130718258,0.055063590,1.000000000,,,,,
1777288391.008341,,,,,,,,,,,135000000.000000000,399.000000000,-0.107001006,-0.013711091,1.099999409
1777288391.010268,120000000.000000000,399.000000000,-0.011658500,0.150296471,1.000000000,,,,,,,,,,
1777288391.011797,,,,,,11624049.000000000,1777288391.000000000,-0.094361663,0.083547696,1.000000000,,,,,
1777288391.012658,,,,,,,,,,,140000000.000000000,399.000000000,-0.105060728,-0.012379533,1.099999436
1777288391.018165,,,,,,,,,,,145000000.000000000,399.000000000,-0.103089882,-0.011011477,1.099999463
1777288391.018411,,,,,,18235560.000000000,1777288391.000000000,-0.100151204,0.078628755,1.000000000,,,,,
1777288391.022204,,,,,,,,,,,150000000.000000000,399.000000000,-0.101093559,-0.009606001,1.099999488
1777288391.022257,,,,,,22182018.000000000,1777288391.000000000,-0.103590849,0.075715929,1.000000000,,,,,
1777288391.026875,,,,,,,,,,,155000000.000000000,399.000000000,-0.099076211,-0.008162524,1.099999512
1777288391.028725,,,,,,28654688.000000000,1777288391.000000000,-0.109197557,0.070991000,1.000000000,,,,,
1777288391.031363,,,,,,31282921.000000000,1777288391.000000000,-0.111465992,0.069081341,1.000000000,,,,,
1777288391.032130,,,,,,,,,,,160000000.000000000,399.000000000,-0.097041394,-0.006681114,1.099999535
1777288391.037435,,,,,,,,,,,165000000.000000000,399.000000000,-0.094992150,-0.005162271,1.099999558
1777288391.037528,,,,,,37317395.000000000,1777288391.000000000,-0.116630629,0.064743984,1.000000000,,,,,
1777288391.042542,,,,,,42360811.000000000,1777288391.000000000,-0.120922435,0.061153560,1.000000000,,,,,
1777288391.042592,,,,,,,,,,,170000000.000000000,399.000000000,-0.092931167,-0.003606816,1.099999579
1777288391.048330,,,,,,,,,,,175000000.000000000,399.000000000,-0.090859928,-0.002015765,1.099999599
1777288391.050575,,,,,,50421423.000000000,1777288391.000000000,-0.127707847,0.055493725,1.000000000,,,,,
1777288391.054195,160000000.000000000,399.000000000,-0.022386508,0.137492532,1.000000000,,,,,,,,,,
1777288391.055687,,,,,,,,,,,180000000.000000000,399.000000000,-0.088772253,-0.000386534,1.099999619
1777288391.056158,,,,,,56050823.000000000,1777288391.000000000,-0.096984108,0.078785558,1.000000000,,,,,
1777288391.058890,,,,,,,,,,,185000000.000000000,399.000000000,-0.086662851,0.001282330,1.099999638
1777288391.058956,,,,,,58763276.000000000,1777288391.000000000,-0.099228815,0.076917749,1.000000000,,,,,
1777288391.062757,,,,,,,,,,,190000000.000000000,399.000000000,-0.084534494,0.002988212,1.099999657
1777288391.062892,,,,,,62714553.000000000,1777288391.000000000,-0.102484272,0.074212583,1.000000000,,,,,
1777288391.067901,,,,,,,,,,,195000000.000000000,399.000000000,-0.082393408,0.004728385,1.099999676
1777288391.069999,,,,,,69713144.000000000,1777288391.000000000,-0.108209681,0.069460974,1.000000000,,,,,
1777288391.071766,,,,,,71612423.000000000,1777288391.000000000,-0.109758928,0.068174285,1.000000000,,,,,
1777288391.073275,,,,,,,,,,,200000000.000000000,399.000000000,-0.080242331,0.006498788,1.099999693
1777288391.077483,,,,,,77319751.000000000,1777288391.000000000,-0.114382397,0.064347789,1.000000000,,,,,
1777288391.077558,,,,,,,,,,,205000000.000000000,399.000000000,-0.078082257,0.008294933,1.099999710
1777288391.083037,,,,,,82907963.000000000,1777288391.000000000,-0.118888574,0.060631740,1.000000000,,,,,
1777288391.083073,,,,,,,,,,,210000000.000000000,399.000000000,-0.075917678,0.010115785,1.099999725
1777288391.088206,,,,,,,,,,,215000000.000000000,399.000000000,-0.073752537,0.011960438,1.099999740
1777288391.089521,200000000.000000000,399.000000000,0.178674603,0.152092075,1.000000000,,,,,,,,,,
1777288391.091386,,,,,,90997891.000000000,1777288391.000000000,-0.012635507,0.086636770,1.000000000,,,,,
1777288391.092975,,,,,,92877623.000000000,1777288391.000000000,-0.014104535,0.085418124,1.000000000,,,,,
1777288391.092996,,,,,,,,,,,220000000.000000000,399.000000000,-0.071587794,0.013826099,1.099999753
1777288391.097975,,,,,,97791906.000000000,1777288391.000000000,-0.017945385,0.082247945,1.000000000,,,,,
1777288391.098025,,,,,,,,,,,225000000.000000000,399.000000000,-0.069424648,0.015710542,1.099999766
1777288391.103252,,,,,,103018126.000000000,1777288391.000000000,-0.022032448,0.078895408,1.000000000,,,,,
1777288391.103348,,,,,,,,,,,230000000.000000000,399.000000000,-0.067266274,0.017613384,1.099999778
1777288391.107201,,,,,,107066436.000000000,1777288391.000000000,-0.025202822,0.076309810,1.000000000,,,,,
1777288391.107241,,,,,,,,,,,235000000.000000000,399.000000000,-0.065115277,0.019533956,1.099999789
1777288391.111419,,,,,,111309474.000000000,1777288391.000000000,-0.028522713,0.073611596,1.000000000,,,,,
1777288391.111999,,,,,,,,,,,240000000.000000000,399.000000000,-0.062970453,0.021471671,1.099999800
1777288391.118605,,,,,,,,,,,245000000.000000000,399.000000000,-0.060827097,0.023426937,1.099999809
1777288391.118696,,,,,,118364270.000000000,1777288391.000000000,-0.034032334,0.069158977,1.000000000,,,,,
1777288391.122541,,,,,,122392122.000000000,1777288391.000000000,-0.037176813,0.066627678,1.000000000,,,,,
1777288391.122584,,,,,,,,,,,250000000.000000000,399.000000000,-0.058677967,0.025404461,1.099999819
1777288391.127214,,,,,,,,,,,255000000.000000000,399.000000000,-0.056517494,0.027407695,1.099999828
1777288391.129900,,,,,,129743438.000000000,1777288391.000000000,-0.042894849,0.062039843,1.000000000,,,,,
1777288391.131163,240000000.000000000,399.000000000,0.171836263,0.144548363,1.000000000,,,,,,,,,,
1777288391.132915,,,,,,132816900.000000000,1777288391.000000000,0.034440019,0.088158844,1.000000000,,,,,
1777288391.132945,,,,,,,,,,,260000000.000000000,399.000000000,-0.054341899,0.029438542,1.099999837
1777288391.138233,,,,,,138038462.000000000,1777288391.000000000,0.030461415,0.084959111,1.000000000,,,,,
1777288391.138300,,,,,,,,,,,265000000.000000000,399.000000000,-0.052148721,0.031497881,1.099999846
1777288391.142741,,,,,,,,,,,270000000.000000000,399.000000000,-0.049936542,0.033585907,1.099999854
1777288391.142782,,,,,,142671814.000000000,1777288391.000000000,0.026914669,0.082127575,1.000000000,,,,,
1777288391.147922,,,,,,,,,,,275000000.000000000,399.000000000,-0.047705188,0.035701829,1.099999862
1777288391.149229,,,,,,149105701.000000000,1777288391.000000000,0.021950995,0.078204561,1.000000000,,,,,
1777288391.151665,,,,,,151521474.000000000,1777288391.000000000,0.020085944,0.076735236,1.000000000,,,,,
1777288391.152725,,,,,,,,,,,280000000.000000000,399.000000000,-0.045459718,0.037838707,1.099999869
