__time,/uav/cv/swing_angle/world_frame/cartesian/header/stamp/nanosec,/uav/cv/swing_angle/world_frame/cartesian/header/stamp/sec,/uav/cv/swing_angle/world_frame/cartesian/vector/x,/uav/cv/swing_angle/world_frame/cartesian/vector/y,/uav/cv/swing_angle/world_frame/cartesian/vector/z,/uav/cv_comp/swing_angle/world_frame/cartesian/header/stamp/nanosec,/uav/cv_comp/swing_angle/world_frame/cartesian/header/stamp/sec,/uav/cv_comp/swing_angle/world_frame/cartesian/vector/x,/uav/cv_comp/swing_angle/world_frame/cartesian/vector/y,/uav/cv_comp/swing_angle/world_frame/cartesian/vector/z,/uav/truth/swing_angle/world_frame/cartesian/header/stamp/nanosec,/uav/truth/swing_angle/world_frame/cartesian/header/stamp/sec,/uav/truth/swing_angle/world_frame/cartesian/vector/x,/uav/truth/swing_angle/world_frame/cartesian/vector/y,/uav/truth/swing_angle/world_frame/cartesian/vector/z
1777457292.248303,,,,,,248257285.000000000,1777457292.000000000,-0.987199164,12.590223846,1.000000000,,,,,
1777457292.250880,,,,,,250809577.000000000,1777457292.000000000,-1.000371040,12.907477702,1.000000000,,,,,
1777457292.253104,,,,,,,,,,,75000000.000000000,285.000000000,-0.675730609,10.697119731,1.098641068
1777457292.255809,,,,,,255747914.000000000,1777457292.000000000,-1.025627233,13.517928883,1.000000000,,,,,
1777457292.258257,,,,,,,,,,,80000000.000000000,285.000000000,-0.693123160,11.309560138,1.098549122
1777457292.262944,,,,,,262854334.000000000,1777457292.000000000,-1.061492439,14.389080232,1.000000000,,,,,
1777457292.263338,,,,,,,,,,,85000000.000000000,285.000000000,-0.710480391,11.919502800,1.098452039
1777457292.265877,,,,,,265809600.000000000,1777457292.000000000,-1.076322657,14.750032391,1.000000000,,,,,
1777457292.266239,80000000.000000000,285.000000000,-0.599050880,11.582261523,1.000000000,,,,,,,,,,
1777457292.268540,,,,,,,,,,,90000000.000000000,285.000000000,-0.727774085,12.526846719,1.098349796
1777457292.270920,,,,,,270839350.000000000,1777457292.000000000,-0.950392612,15.070145849,1.000000000,,,,,
1777457292.273275,,,,,,,,,,,95000000.000000000,285.000000000,-0.744987838,13.131456128,1.098242433
1777457292.275887,,,,,,275821641.000000000,1777457292.000000000,-0.974772977,15.670610781,1.000000000,,,,,
1777457292.278376,,,,,,,,,,,100000000.000000000,285.000000000,-0.762128827,13.733201144,1.098130022
1777457292.282952,,,,,,282888566.000000000,1777457292.000000000,-1.008894587,16.514227158,1.000000000,,,,,
1777457292.283207,,,,,,,,,,,105000000.000000000,285.000000000,-0.779222713,14.331957954,1.098012623
1777457292.288226,,,,,,,,,,,110000000.000000000,285.000000000,-0.796297737,14.927619002,1.097890257
1777457292.288379,,,,,,288314699.000000000,1777457292.000000000,-1.034803707,17.157028634,1.000000000,,,,,
1777457292.291012,,,,,,290917195.000000000,1777457292.000000000,-1.047162127,17.464153218,1.000000000,,,,,
1777457292.293108,,,,,,,,,,,115000000.000000000,285.000000000,-0.813350864,15.520078625,1.097762928
1777457292.295802,,,,,,295738621.000000000,1777457292.000000000,-1.069830728,18.029048493,1.000000000,,,,,
1777457292.298350,,,,,,,,,,,120000000.000000000,285.000000000,-0.830351197,16.109235585,1.097630620
1777457292.303300,,,,,,303215794.000000000,1777457292.000000000,-1.104449999,18.894986187,1.000000000,,,,,
1777457292.303457,,,,,,,,,,,125000000.000000000,285.000000000,-0.847265226,16.694975869,1.097493342
1777457292.305022,120000000.000000000,285.000000000,-0.537252086,16.326509908,1.000000000,,,,,,,,,,
1777457292.308403,,,,,,308336507.000000000,1777457292.000000000,-0.937851345,19.382104004,1.000000000,,,,,
1777457292.308422,,,,,,,,,,,130000000.000000000,285.000000000,-0.864079568,17.277177504,1.097351129
1777457292.310819,,,,,,310756368.000000000,1777457292.000000000,-0.948783768,19.658861767,1.000000000,,,,,
1777457292.313519,,,,,,,,,,,135000000.000000000,285.000000000,-0.880805243,17.855708553,1.097204058
1777457292.315826,,,,,,315761922.000000000,1777457292.000000000,-0.971180166,20.226515098,1.000000000,,,,,
1777457292.318409,,,,,,,,,,,140000000.000000000,285.000000000,-0.897476210,18.430451345,1.097052182
1777457292.322901,,,,,,322833647.000000000,1777457292.000000000,-1.002365716,21.018591324,1.000000000,,,,,
1777457292.323376,,,,,,,,,,,145000000.000000000,285.000000000,-0.914118332,19.001293184,1.096895537
1777457292.328413,,,,,,,,,,,150000000.000000000,285.000000000,-0.930732250,19.568128358,1.096734126
1777457292.328450,,,,,,328380278.000000000,1777457292.000000000,-1.026531017,21.633591985,1.000000000,,,,,
1777457292.330725,,,,,,330665472.000000000,1777457292.000000000,-1.036436639,21.885880803,1.000000000,,,,,
1777457292.333355,,,,,,,,,,,155000000.000000000,285.000000000,-0.947289486,20.130847504,1.096567964
1777457292.335913,,,,,,335845538.000000000,1777457292.000000000,-1.058640983,22.452119716,1.000000000,,,,,
1777457292.338207,,,,,,,,,,,160000000.000000000,285.000000000,-0.963752673,20.689344472,1.096397058
1777457292.343020,,,,,,342926340.000000000,1777457292.000000000,-1.088526193,23.215321544,1.000000000,,,,,
1777457292.343422,,,,,,,,,,,165000000.000000000,285.000000000,-0.980106922,21.243501199,1.096221448
1777457292.345652,160000000.000000000,285.000000000,-0.689977366,21.040112594,1.000000000,,,,,,,,,,
1777457292.348231,,,,,,,,,,,170000000.000000000,285.000000000,-0.996371962,21.793194119,1.096041211
1777457292.348406,,,,,,348338977.000000000,1777457292.000000000,-0.985288174,23.784474094,1.000000000,,,,,
